"","AdOnset_Weibull_Shape","AdOnset_Weibull_Scale","AdOnsetPropensity_Gamma_Alpha","AdNaturalHistoryPropensity_Gaussian_Variance","AdNaturalHistoryPropensity_PreclinCancerProg_TampingTerm","AdNaturalHistoryPropensity_CancerOnset_TampingTerm","AdGrowth_Janoschek_Inflection","AdGrowth_Janoschek_Rate_P","AdGrowth_Janoschek_Rate_D","AdGrowth_Janoschek_Rate_R","PreclinCancerProg_Exp_Rate_P","PreclinCancerProg_Exp_Rate_D","PreclinCancerProg_Exp_Rate_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","pSxDetS2_P","pSxDetS2_D","pSxDetS2_R","pSxDetS3_P","pSxDetS3_D","pSxDetS3_R","pSxDetS4_P","pSxDetS4_D","pSxDetS4_R"
"3216",2.32522062882713,5.21248991851565e-05,0.495968871642202,0.645036754144675,4.34838856994119,5.97347530313678,0.441350597178653,0.0555062764290721,0.0506091585632358,0.0549674327274555,0.193490355631866,0.193634805082086,0.206510488863773,0.00534927051027574,0.0155066815543719,0.0188628521147675,0.00527768555115378,0.0511613871962419,0.00730536156626116,0.0475475638574819,0.0857349544377232,0.16726899746371,0.368060022537785,0.385545021650762,0.351874004296505,0.672674154146691,0.681348274597438,0.854340663386724,0.97684304694072,0.936506372906441,0.947232368844565
"3218",2.29964750227625,6.88811811115889e-05,0.4731615876917,0.86750577962778,4.51042691341627,1.56986729973475,0.367972994328241,0.0645738780066196,0.065035303478323,0.0733528702203377,0.187821281903485,0.207003877855217,0.195336908562129,0.00279417760186307,0.0160928395679421,0.000983022980799372,0.0367960683860606,0.0330744971372179,0.00176195332213288,0.0468127487452355,0.0950704336260722,0.141958488502322,0.392047559040803,0.416504650462772,0.372064686978838,0.670489562753182,0.80187316948613,0.728260572439077,0.981788331201194,0.913195470488511,0.942674797673688
"3219",1.86832333594367,0.0004025656039916,0.50388552680252,0.573562698248024,4.06647007903506,2.86647544557099,0.49747413383224,0.0427382102434726,0.0451897708208175,0.0470851687404368,0.193878781842612,0.195694870062291,0.194369587374149,0.00193259820671847,0.0293542627420593,0.00113120389737905,0.0313668221988206,0.0647324450197168,0.00196560116449141,0.049822185844348,0.0874641505978963,0.131844673088836,0.348768717733055,0.376012576005323,0.349931801614664,0.719222532958376,0.703825446335783,0.729869373715176,0.919745650686963,0.968975564611278,0.929251135003906
"3220",2.15766571378249,0.000120770932573977,0.443168252499332,0.32864610417479,3.03365147307899,10.9797271303041,0.400967758391367,0.0590625129232943,0.0527355474052334,0.0687892052628733,0.191206790420938,0.210087171024916,0.220910661009693,0.013732213899595,0.00780886578332122,0.0439987120203366,0.0123226683778417,0.0283670660755496,0.00589271462521607,0.0474567675221384,0.105137299623857,0.173954809214786,0.372121936480956,0.482185931984451,0.371714945514682,0.680343795851223,0.784673100988786,0.89465144300487,0.925361621640758,0.958863326655656,0.919528649727738
"3221",2.04210687929272,0.000216112085130658,0.523573760198029,0.460955838622552,3.61899231670736,8.43576390729264,0.449332035425037,0.0554461142172001,0.0455856962002475,0.0507549336333096,0.19913124460892,0.202445420877769,0.216990193200265,0.00347609888606163,0.0172991266747642,0.0317426294122882,0.00231565034804791,0.0461441139058443,0.00190955225096763,0.0427708355438534,0.0953898650764157,0.180205164972434,0.371120063081392,0.423776819369938,0.387449845709914,0.683699394261468,0.747137020111123,0.877113375333692,0.912575550138702,0.911309367300619,0.99855884775519
"3223",2.01163406401992,0.000209291123225279,0.479416886175112,0.265439581756942,2.52774737800741,13.9711906314922,0.419508730870558,0.0584157507855683,0.0511768708219095,0.0606956613177974,0.194767541148411,0.201495589299391,0.212736470412348,0.0081212894475379,0.0164651099722554,0.0620674609338832,0.0105571278645842,0.00580925333449904,0.0533121093836448,0.0439490554167014,0.0946089836255049,0.164545320325764,0.421291066191941,0.431595965266877,0.371597362217232,0.65367975947702,0.766431769622255,0.893171089812977,0.993813256780325,0.946955388868253,0.909589717547142
"3224",1.89679031363457,0.000375970559194992,0.450865192950956,0.393849522532419,3.1492981463819,6.67465166423758,0.488113201437401,0.0499379772964232,0.0578041981087788,0.0504074713063471,0.195995177738815,0.227990822989952,0.224101014688433,0.00138633392385386,0.0266330519874409,0.00133285299511681,0.024529676159826,0.028799810355434,0.00576624704242482,0.0429354531586049,0.113109850737529,0.198786025334414,0.37086184392446,0.434319238493967,0.422683873511119,0.674727816613706,0.835607023992273,0.886308471137641,0.982934938867763,0.956388374022544,0.952604705852345
"3225",2.30964468247605,6.07490369957165e-05,0.510270495436405,0.924938187986378,5.65215205887014,8.18354722152919,0.336710381950385,0.0766582237396842,0.0855380797452289,0.0697498208846705,0.203683287838279,0.21398774265244,0.202043524626741,0.00286661311414129,0.0176341879616452,0.000684800293062773,0.0352511797312298,0.0495916975764443,0.0184222877193529,0.0355542903657627,0.0892233434885868,0.148464271516929,0.427781605934162,0.40363654915539,0.346778358067738,0.663611453520319,0.75966061627224,0.824545377727634,0.93377864047463,0.910298690759242,0.902582541778687
"3227",2.24125311466211,8.69911322655284e-05,0.484016995517434,0.925157248071872,4.38923417705449,2.11280703305418,0.398070700905819,0.0555705760456625,0.063513970683793,0.0659133571165407,0.182984918549546,0.199224825376309,0.198311592788779,0.00253569696725638,0.0191057436381465,0.000863002572366585,0.0363579540578184,0.0266738174222019,0.00947261532466728,0.0475271383670994,0.0865209882819364,0.150426555121807,0.385616448392129,0.388385986232291,0.368754680854189,0.665547562902688,0.740438658892506,0.792061554110983,0.941499254253397,0.923171508613904,0.901455610394997
"3228",2.3999937466112,4.3413377106982e-05,0.491074155431581,0.832709297847385,4.14021607215208,6.43282386579962,0.457328647988024,0.0466848807700137,0.0574958292723546,0.0566141016366628,0.18274243232037,0.188656725493815,0.217093962641752,0.00407886243612139,0.0194211703671649,0.00162723710715781,0.0245686598772588,0.0286745625994671,0.00505807101156691,0.0470280559230068,0.0737938653407188,0.181502310448136,0.384226022912649,0.352476895048125,0.414624729622982,0.65951011057331,0.718087425838978,0.895058454721256,0.973287099614722,0.913827667148321,0.965650306532025
