"iter","draw","step","Corley_adeno_prev_male_50_54","Corley_adeno_prev_male_55_59","Corley_adeno_prev_male_60_64","Corley_adeno_prev_male_65_69","Corley_adeno_prev_male_70_74","Corley_adeno_prev_male_75plus","Corley_adeno_prev_fem_50_54","Corley_adeno_prev_fem_55_59","Corley_adeno_prev_fem_60_64","Corley_adeno_prev_fem_65_69","Corley_adeno_prev_fem_70_74","Corley_adeno_prev_fem_75plus","UKFSS_screen_det_crc_male","UKFSS_screen_det_crc_fem","SEER_inc_colon_fem_20_49","SEER_inc_colon_fem_50_59","SEER_inc_colon_fem_60_69","SEER_inc_colon_fem_70_84","SEER_inc_colon_fem_85_100","SEER_inc_colon_male_20_49","SEER_inc_colon_male_50_59","SEER_inc_colon_male_60_69","SEER_inc_colon_male_70_84","SEER_inc_colon_male_85_100","SEER_inc_rectal_fem_20_49","SEER_inc_rectal_fem_50_59","SEER_inc_rectal_fem_60_69","SEER_inc_rectal_fem_70_84","SEER_inc_rectal_fem_85_100","SEER_inc_rectal_male_20_49","SEER_inc_rectal_male_50_59","SEER_inc_rectal_male_60_69","SEER_inc_rectal_male_70_84","SEER_inc_rectal_male_85_100","Pickhardt_pct_adeno_lt_6mm","Pickhardt_pct_adeno_6_to_lt10mm","Pickhardt_pct_adeno_10plusmm","Church_pct_crc_6_to_lt10mm","Church_pct_crc_10plusmm","Lieberman_pct_crc_6_to_lt10mm","Lieberman_pct_crc_10plusmm","actual_iter"
1,5597,0,0.259,0.2868,0.3116,0.3297,0.3451,0.3691,0.1697,0.1832,0.201,0.2128,0.2238,0.2442,0.0032,0.0022,1e-04,5e-04,0.001,0.0016,0.0025,1e-04,6e-04,0.0013,0.0023,0.0034,0,3e-04,4e-04,4e-04,6e-04,1e-04,4e-04,7e-04,9e-04,0.001,0.5605,0.2766,0.1628,0.0101,0.0429,0.0112,0.0572,1
1,5603,0,0.2672,0.3017,0.3197,0.3319,0.3491,0.361,0.1707,0.1862,0.2049,0.2205,0.23,0.2419,0.0023,0.0013,0,2e-04,7e-04,0.0011,0.0016,0,3e-04,7e-04,0.0015,0.0024,0,2e-04,2e-04,4e-04,5e-04,0,2e-04,4e-04,8e-04,0.001,0.5711,0.2832,0.1457,0.0064,0.0274,0.0064,0.0386,1
1,5604,0,0.3196,0.3382,0.3595,0.3785,0.3988,0.43,0.2173,0.2273,0.2546,0.2713,0.2866,0.3106,0.0047,0.003,0,6e-04,0.0016,0.0024,0.0035,1e-04,7e-04,0.0018,0.0029,0.0049,0,4e-04,6e-04,9e-04,9e-04,1e-04,6e-04,0.0011,0.0012,0.0012,0.5816,0.2599,0.1585,0.0078,0.0395,0.0077,0.0594,1
1,5605,0,0.2859,0.3132,0.3274,0.3353,0.36,0.3663,0.1947,0.2177,0.2367,0.2456,0.2504,0.2623,0.0038,0.0021,0,5e-04,0.0012,0.0016,0.0023,0,5e-04,0.0013,0.0022,0.0035,0,2e-04,3e-04,6e-04,6e-04,0,4e-04,8e-04,0.0011,0.0012,0.5697,0.258,0.1723,0.0073,0.036,0.0071,0.0492,1
1,5606,0,0.261,0.2782,0.2955,0.3165,0.3279,0.3357,0.1749,0.1905,0.2098,0.2232,0.2259,0.2367,0.0038,0.0024,0,5e-04,0.001,0.002,0.003,0,6e-04,0.0014,0.0025,0.0034,0,2e-04,5e-04,5e-04,8e-04,0,5e-04,9e-04,9e-04,0.001,0.5817,0.2507,0.1676,0.0096,0.0392,0.0102,0.0562,1
1,5607,0,0.249,0.2724,0.2916,0.315,0.3347,0.3563,0.1636,0.1852,0.202,0.2203,0.233,0.2525,0.003,0.0023,1e-04,5e-04,0.001,0.0016,0.0024,0,5e-04,0.001,0.0018,0.0026,0,3e-04,5e-04,6e-04,8e-04,0,4e-04,7e-04,0.001,0.0012,0.5564,0.2676,0.176,0.008,0.0365,0.0083,0.0499,1
1,5609,0,0.2816,0.2956,0.3188,0.3402,0.3553,0.3827,0.1818,0.1951,0.2193,0.2271,0.2481,0.2538,0.0038,0.0022,1e-04,7e-04,0.0013,0.0021,0.0032,1e-04,8e-04,0.0017,0.0027,0.0042,0,2e-04,4e-04,6e-04,6e-04,1e-04,4e-04,8e-04,9e-04,0.0011,0.5755,0.2514,0.1731,0.0101,0.0413,0.0088,0.0579,1
1,5611,0,0.2585,0.2809,0.2953,0.3165,0.3324,0.3424,0.1832,0.1989,0.2157,0.2265,0.2358,0.2464,0.0025,0.0021,0,3e-04,9e-04,0.0013,0.0017,0,3e-04,8e-04,0.0014,0.0023,0,2e-04,3e-04,5e-04,6e-04,0,3e-04,6e-04,7e-04,7e-04,0.5826,0.2608,0.1565,0.0055,0.0329,0.0044,0.0466,1
1,5615,0,0.3051,0.3248,0.3424,0.3538,0.3762,0.3889,0.2047,0.2161,0.2322,0.2487,0.2572,0.2668,0.0036,0.0021,1e-04,5e-04,0.0012,0.0019,0.0026,1e-04,6e-04,0.0014,0.0024,0.0034,0,3e-04,3e-04,5e-04,6e-04,0,4e-04,9e-04,9e-04,9e-04,0.5661,0.2683,0.1656,0.0064,0.036,0.0068,0.0495,1
1,5628,0,0.27,0.3006,0.3112,0.3303,0.3377,0.3502,0.1802,0.191,0.2092,0.2178,0.2361,0.2445,0.0039,0.0024,0,5e-04,0.0011,0.0017,0.0021,0,6e-04,0.0012,0.0021,0.0028,0,2e-04,6e-04,6e-04,7e-04,0,4e-04,9e-04,0.0012,0.0015,0.5557,0.2667,0.1776,0.0078,0.0371,0.0072,0.0527,1
